"Start Time,""Period (min)"",""NE Name"",""FEGE"",""VS.FEGE.RXMEANSPEED (kbit/s)"",""VS.FEGE.TXMEANSPEED (kbit/s)"""
"04/19/2018 06:30:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.035,0.256"
"04/19/2018 06:30:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.335,0.261"
"04/19/2018 06:30:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",57932.49,183084.608"
"04/19/2018 06:30:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",151097.851,19734.477"
"04/19/2018 06:30:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",2809.69,2234.344"
"04/19/2018 06:30:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 06:30:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 06:30:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 06:30:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",124960.928,392519.653"
"04/19/2018 06:30:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",328457.105,47535.666"
"04/19/2018 06:30:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",5073.529,5248.208"
"04/19/2018 06:30:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 06:30:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",126748.857,380740.11"
"04/19/2018 06:30:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 06:30:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 06:30:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 06:30:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",309481.679,39719.16"
"04/19/2018 06:30:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",7219.849,6060.284"
"04/19/2018 06:30:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",81008.786,209014.655"
"04/19/2018 06:30:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",6011.911,5970.514"
"04/19/2018 06:30:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 06:30:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 06:30:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",169432.489,31493.091"
"04/19/2018 06:30:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 06:30:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 06:30:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.035,0.256"
"04/19/2018 07:00:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.336,0.261"
"04/19/2018 07:00:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",76364.576,297905.846"
"04/19/2018 07:00:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",251557.799,27251.05"
"04/19/2018 07:00:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",5472.259,4499.617"
"04/19/2018 07:00:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 07:00:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.034,0.256"
"04/19/2018 07:00:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 07:00:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",168773.721,625528.168"
"04/19/2018 07:00:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",532644.115,67652.375"
"04/19/2018 07:00:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",10726.992,9431.185"
"04/19/2018 07:00:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.024,1.023"
